nombre,familia,exp_name,method,time,resultado,n,m,resultado_exp,first,dif,tabu,v,l,gap
berlin52,berlin,exp_tabu,ts,3.4878368377685547,7542,52,1378,8643,1,1101,40,40,1301,0.1459824980111376
berlin52,berlin,exp_tabu,ts,4.143869400024414,7542,52,1378,8643,1,1101,40,40,1401,0.1459824980111376
berlin52,berlin,exp_tabu,ts,4.021688938140869,7542,52,1378,8643,1,1101,40,40,1501,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.0225903987884521,7542,52,1378,9454,1,1912,60,40,1,0.2535136568549456
berlin52,berlin,exp_tabu,ts,0.3029747009277344,7542,52,1378,8643,1,1101,60,40,101,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.6725368499755859,7542,52,1378,8643,1,1101,60,40,201,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.9509198665618896,7542,52,1378,8643,1,1101,60,40,301,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.3291475772857666,7542,52,1378,8643,1,1101,60,40,401,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.606520414352417,7542,52,1378,8643,1,1101,60,40,501,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.9107801914215088,7542,52,1378,8643,1,1101,60,40,601,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.498960494995117,7542,52,1378,8643,1,1101,60,40,701,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.5941731929779053,7542,52,1378,8643,1,1101,60,40,801,0.1459824980111376
